"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","开party：语音party--开party显示正常；","0","0","","0"
"0","","0","动态点赞--正常点赞成功","1","0","","0"
"0","","0","直播间右滑清屏--正常清屏","1","0","","0"
"1","","0","主播点击“结束直播”按钮--直播间关闭，观众看到结束提示页面","0","0","","0"
"0","","0","手机正常注册登录","1","0","","0"
"0","","0","点击编辑资料-修改头像-上传头像正常","1","0","","0"
"0","","0","检查 话题功能--勾选话题正常发布，且正常进入话题详情页面","1","0","","0"
"0","","0","@好友功能--正常@好友且发布","1","0","","0"
"0","","0","上麦用户可以正常开启视频--开启视频主播点击可以打开麦上用户的视频/关闭","1","0","","0"
"0","","0","点击编辑资料-修改昵称-修改成功","1","0","","0"
"0","","0","上传图片发布,发布成功","1","0","","0"
"1","","0","输入正确的id搜索--正常搜索到对应内容，点击正常","0","0","","0"
"1","","0","主播点击观众头像弹出用户卡片,财富等级和直播等级正常","0","0","","0"
"0","","0","点击“开始直播”设置标题、封面等--直播间创建成功，观众可进入观看","1","0","","0"
"0","","0","动态评论--输入文字正常评论","1","0","","0"
"1","","0","主播点击观众头像弹出用户卡片---点击头像后正常弹出用户卡片","0","0","","0"
"1","","0","party房主开启/关闭麦位--关闭-麦位展示一个锁的标识，且用户无法上麦 开启-用户正常上下麦","0","0","","0"
"1","","0","直播间发起pk--发起pk随机pk 双方画面正常显示","0","0","","0"
"0","","0","点击进入动态详情页--动态详情页展示正常","1","0","","0"
"0","","0","开party：视频party---开party 显示正常；功能：开启/关闭视频正常","1","0","","0"
"1","","0","登录成功，退出，在登录","0","0","","0"
"1","","0","直播间上麦--主播和麦上用户切后台是否崩溃","0","0","","0"
"1","","0","余额不足选择付费礼物 点击赠送--礼物无法正常送出且弹出充值窗口","0","0","","0"
"0","","0","直播间点击在线观众列表按钮--正常展示当前在线观看用户列表","1","0","","0"
"0","","0","直播间上麦--用户申请上麦主播可以选择接受或拒绝","1","0","","0"
